component_id,component_name,controls,assessment_type,assessment_method,assessment_description,assessment_id,parameter_count,parameters
billing,Billing,"[""ESA-3(0)"",""ESA-5(0)"",""AC-20(a)"",""CA-3(a)"",""SA-4(a)"",""SA-9(a)""]",automated,ibm-cloud-rule,Check whether the Financial Services Validated setting is enabled in account settings,rule-c6090313-913c-4720-ae0e-47a23d5e2c77,0,[]
iam-identity,IAM Identity Service,"[""ESA-3(0)"",""ESA-5(0)"",""AC-20(a)"",""CA-3(a)"",""SA-4(a)"",""SA-4(b)"",""SA-4(c)"",""SA-4(d)"",""SA-4(e)"",""SA-4(f)"",""SA-4(g)"",""SA-9(a)""]",automated,ibm-cloud-rule,Check whether provisioned services are IAM enabled,rule-13ce9f42-89ac-4cba-b85f-69efd7352d19,0,[]
iam-identity,IAM Identity Service,"[""AC-2(a)""]",automated,ibm-cloud-rule,IBM Cloud accounts are one of the account types used to support your applications,rule-efc4a3c7-05d6-4d29-85c6-6b2a78362f54,0,[]
iam-identity,IAM Identity Service,"[""AC-2(d)"",""AC-3(0)"",""AC-5(c)"",""AC-6(0)"",""IA-7(0)""]",automated,ibm-cloud-rule,Check whether IAM roles are used to create IAM policies for IBM resources,rule-548a3321-6a39-400c-9c2d-0df9a13afd02,0,[]
user-management,User Management,"[""AC-2(d)"",""AC-3(0)"",""AC-5(c)"",""AC-6(0)"",""IA-7(0)""]",automated,ibm-cloud-rule,Check whether IAM users are attached to at least one access group,rule-61fa114a-2bb9-43fd-8068-b873b48bdf79,0,[]
iam-identity,IAM Identity Service,"[""AC-2(d)"",""AC-3(0)"",""AC-5(c)"",""AC-6(0)""]",automated,ibm-cloud-rule,Check whether permissions for API key creation are limited and configured in IAM settings for the account owner,rule-0704e840-e443-4781-b9be-ec57469d09c1,0,[]
atracker,Activity Tracker event routing,"[""AC-2(g)"",""AC-2(4)(0)"",""AC-2(7)(b)"",""AC-6(9)(0)"",""AU-2(a)"",""AU-2(d)"",""AU-3(0)"",""AU-8(a)"",""AU-8(b)"",""AU-8(1)(a)"",""AU-8(1)(b)"",""AU-12(a)"",""AU-12(b)"",""AU-12(c)"",""CA-7(d)"",""SI-4(a)"",""SI-4(b)"",""SI-4(c)""]",automated,ibm-cloud-rule,Check whether Activity Tracker Event Routing is configured to collect global events generated by IBM Cloud services,rule-f634f98e-fe88-40c1-b98d-6f91bdf09dc9,0,[]
atracker,Activity Tracker event routing,"[""AC-2(g)"",""AC-2(4)(0)"",""AC-2(7)(b)"",""AC-6(9)(0)"",""AU-2(a)"",""AU-2(d)"",""AU-3(0)"",""AU-8(a)"",""AU-8(b)"",""AU-8(1)(a)"",""AU-8(1)(b)"",""AU-12(a)"",""AU-12(b)"",""AU-12(c)"",""CA-7(d)"",""SI-4(a)"",""SI-4(b)"",""SI-4(c)""]",automated,ibm-cloud-rule,Check that there is an Activity Tracker event route defined in each region to collect location-based events,rule-bf455a75-0ab7-406f-8321-b8bd10d01c50,0,[]
iam-groups,IAM Access Groups Service,"[""AC-3(0)"",""AC-4(0)"",""AC-6(0)"",""AC-14(a)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)""]",automated,ibm-cloud-rule,Check whether Cloud Object Storage public access is disabled in IAM settings (not applicable to ACLs managed using S3 APIs),rule-d61c20c9-c0be-443b-af0c-0d900601e154,0,[]
iam-identity,IAM Identity Service,"[""AC-3(0)"",""AC-6(0)""]",automated,ibm-cloud-rule,Check whether permissions for service ID creation are limited and configured in IAM settings for the account owner,rule-0244c010-fde6-4db3-95aa-8952bd292ac3,0,[]
billing,Billing,"[""AC-3(0)"",""AC-6(0)""]",automated,ibm-cloud-rule,Check whether user list visibility restrictions are configured in IAM settings for the account owner,rule-2a502567-3b71-4305-b1a2-7b016e2eed44,0,[]
is.public-gateway,Public Gateway,"[""AC-4(0)"",""SC-7(a)"",""SC-7(c)"",""SC-7(4)(a)"",""SC-7(5)(0)"",""SC-7(10)(0)""]",automated,ibm-cloud-rule,Check whether Virtual Private Cloud (VPC) is configured with public gateways that are provisionable only within permitted zones,rule-d42bbc4b-932f-4ffe-9b2b-8d64fe9cf63f,1,"[{""parameter_name"":""public_gateway_permitted_zones"",""parameter_display_name"":""IBM Cloud Public Gateway permitted zones"",""parameter_type"":""string_list"",""parameter_default_value"":0}]"
is.security-group,Security Group for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)"",""SC-7(10)(0)""]",automated,ibm-cloud-rule,Check whether Security Groups for VPC contains no outbound rules in security groups that specify destination IP 8.8.8.8/32 to DNS port,rule-0f7e7e60-a05c-43a7-be74-70615f14a342,1,"[{""parameter_name"":""dns_port"",""parameter_display_name"":""Security group rule for allowed port numbers to DNS"",""parameter_type"":""numeric"",""parameter_default_value"":0}]"
is.network-acl,Network ACL,"[""AC-4(0)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Virtual Private Cloud (VPC) network access control lists don't allow ingress from 0.0.0.0/0 to any port except 443,rule-64e628f7-4f3a-4c0e-85a4-40300bafe856,0,[]
is.network-acl,Network ACL,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(c)"",""SC-7(4)(a)"",""SC-7(5)(0)"",""SC-7(10)(0)""]",automated,ibm-cloud-rule,Check whether Virtual Private Cloud (VPC) network access control lists don't allow egress from 0.0.0.0/0 to any port,rule-faacfd1f-454f-4e60-95d7-8fe01158840d,0,[]
container-registry,Container Registry,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Container Registry image pushes and pulls take place only over private endpoints,rule-b44ca99d-23fd-49cd-851a-b393f42dc8ba,0,[]
is.load-balancer,Load Balancer for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Application Load Balancer for VPC has public access disabled,rule-ce6dff83-7280-4d25-a032-e5ff893e2fce,1,"[{""parameter_name"":""exclude_load_balancers"",""parameter_display_name"":""Exclude Application Load Balancers that have public access"",""parameter_type"":""string_list"",""parameter_default_value"":0}]"
is.vpc,Virtual Private Cloud,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(c)"",""SC-7(4)(a)"",""SC-7(5)(0)"",""SC-7(10)(0)""]",automated,ibm-cloud-rule,Check whether Virtual Private Cloud (VPC) has no rules in the default security group,rule-96527f89-1867-4581-b923-1400e04661e0,0,[]
is.vpc,Virtual Private Cloud,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(c)"",""SC-7(4)(a)"",""SC-7(5)(0)"",""SC-7(10)(0)""]",automated,ibm-cloud-rule,Check whether Virtual Private Cloud (VPC) classic access is disabled,rule-936158a6-40ff-48ca-91a1-f184aa9b0dff,0,[]
is.vpc,Virtual Private Cloud,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(c)"",""SC-7(4)(a)"",""SC-7(5)(0)"",""SC-7(10)(0)""]",automated,ibm-cloud-rule,Check whether Virtual Private Cloud (VPC) has no public gateways attached at the time of provisioning,rule-6d60f511-20a9-4489-b9b5-447504b7a836,0,[]
is.vpc,Virtual Private Cloud,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(c)"",""SC-7(4)(a)"",""SC-7(5)(0)"",""SC-7(10)(0)""]",automated,ibm-cloud-rule,Check whether Virtual Private Cloud (VPC) has no public gateways attached,rule-64c0bea0-8760-4a6b-a56c-ee375a48961e,0,[]
is.vpn,VPN for VPC,"[""AC-4(0)"",""SC-7(a)"",""SC-7(b)"",""SC-7(c)"",""SC-7(4)(a)"",""SC-7(5)(0)"",""SC-7(10)(0)"",""SC-11(0)""]",automated,ibm-cloud-rule,Check whether account has at least one VPN or Direct Link configured,rule-92c541f6-5c40-47e1-935d-228ec688dc1c,0,[]
is.vpc,Virtual Private Cloud,"[""AC-4(0)"",""SC-2(0)"",""SC-3(0)""]",automated,ibm-cloud-rule,Check whether at least # Virtual Private Cloud (VPC)s have been created,rule-857646d8-23b8-4495-82a4-295ab399266e,1,"[{""parameter_name"":""number_of_vpcs"",""parameter_display_name"":""At least one VPC created"",""parameter_type"":""numeric"",""parameter_default_value"":0}]"
transit,Transit Gateway,"[""AC-4(0)"",""SC-2(0)"",""SC-3(0)""]",automated,ibm-cloud-rule,Check whether at least # instances of Transit Gateway have been created,rule-8c28c15e-c38f-410a-a883-a5f22a839176,1,"[{""parameter_name"":""number_of_transit_gateways"",""parameter_display_name"":""Number of transit gateways"",""parameter_type"":""numeric"",""parameter_default_value"":0}]"
cloud-object-storage,Cloud Object Storage,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Cloud Object Storage can be accessed only through a private endpoint,rule-9eb7b514-5c27-43ba-83fc-26d75e0bf695,1,"[{""parameter_name"":""check_enforced"",""parameter_display_name"":""check for cbr enforcement"",""parameter_type"":""string_list"",""parameter_default_value"":0}]"
cloud-object-storage,Cloud Object Storage,"[""AC-4(0)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)""]",automated,ibm-cloud-rule,Check whether Cloud Object Storage network access is restricted to a specific IP range,rule-ac203dbc-ff0d-49f7-bf11-c08af429cb86,1,"[{""parameter_name"":""allowed_ip"",""parameter_display_name"":""IP allowlist for COS"",""parameter_type"":""ip_list"",""parameter_default_value"":0}]"
hs-crypto,Hyper Protect Crypto Services,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Hyper Protect Crypto Services can be accessed only through a private endpoint,rule-315c8bb3-3eb8-4186-85bc-e66d68ba9dd0,1,"[{""parameter_name"":""check_enforced"",""parameter_display_name"":""check for cbr enforcement"",""parameter_type"":""string_list"",""parameter_default_value"":0}]"
